TOWNSHIP,ADDRESS,ERF,PTN,RE,CATEGORY,EXTENT,MARKET VALUE,SCHEME NAME,SCHEME NO.,SCHEME YEAR,UNIT NO.,REMARKS

ALVEDA EXT.17,"",0,0,RE,Township Development,148809,R152100000.00,"","","",0,""
ALVEDA EXT.2,3 LAVENDER STREET,648,0,00,Residential Property,364,R1016000.00,"","","",0,""
ALVEDA EXT.2,84 WATTLE STREET,36,0,00,Residential Property,628,R715000.00,"","","",0,""
ALVEDA EXT.2,46 OAK STREET,106,0,00,Residential Property,792,R810000.00,"","","",0,""
ALVEDA EXT.2,49 WATTLE STREET,207,0,00,Residential Property,461,R888000.00,"","","",0,""
ALVEDA EXT.2,8 LAVENDER STREET,666,0,00,Residential Property,330,R710000.00,"","","",0,""
ALVEDA EXT.2,12 OAK STREET,114,0,00,Residential Property,790,R810000.00,"","","",0,""
ALVEDA EXT.2,34 SYRINGA STREET,278,0,00,Residential Property,364,R670000.00,"","","",0,""
ALVEDA EXT.2,4 SUGARBUSH STREET,248,0,00,Residential Property,544,R1337000.00,"","","",0,""
ALVEDA EXT.2,27 PROTEA STREET,293,0,00,Residential Property,522,R848000.00,"","","",0,""
